2026-05-31 22:29:25 + : samsung SM-A037M  || None || joined server 
2026-05-31 22:30:39 + : MacBook-Air-de-Less.local  || None || joined server 
2026-05-31 22:36:03 + : samsung SM-A037M  || None || joined server 
2026-05-31 23:27:41 + : MacBook-Air-de-Less.local  || None || joined server 
2026-05-31 23:34:38 + : MacBook-Air-de-Less.local  || None || joined server 
2026-05-31 23:49:31 + : MacBook-Air-de-Less.local  || None || joined server 
2026-06-01 00:15:59 + : MacBook-Air-de-Less.local  || None || joined server 
2026-06-01 01:00:23 + : MacBook-Air-de-Less.local  || None || joined server 
2026-06-01 19:54:06 + : MacBook-Air-de-Less.local  || None || joined server 
2026-06-01 21:41:44 + : MacBook-Air-de-Less.local  || None || joined server 
2026-06-01 21:42:10 + : MacBook-Air-de-Less.local  || None || joined server 
2026-06-01 21:44:04 + : MacBook-Air-de-Less.local  || None || joined server 
2026-06-02 18:17:28 + : samsung SM-A037M  || None || joined server 
2026-06-02 18:23:32 + : MacBook-Air-de-Less.local  || None || joined server 
2026-06-02 19:29:24 + : MacBook-Air-de-Less.local  || None || joined server 
2026-06-02 19:34:49 + : MacBook-Air-de-Less.local  || None || joined server 
